Name,Logo,Site,Funding Rounds,Location(s),Notes
Brooklyn Bridge Ventures,ce27b59a3ca06ccb60d9353ffb60be3e.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/juduc7NZ-8NlhEBN5p6Nhw/17bOt9zd924RiJEfJKQbauT9t_fiPQcayo-k98pLZ3cb3KbdWxYMaYtk-FZSgrCJtIOUj4hpglSARYbBBQxqd7Q2N_pM4RZh7hNae3V6HXTzzHrXtyp2Gvbe1ptcepky/_et-katptkUmG-yU5MhbMAfXurvrTn0vMOSKytlwrhI),http://brooklynbridge.vc/,"Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures I","""New York, NY""",
Bryant Stibel,o1bcuj40a8m5glrwmhu9.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/kti63RA_PV3IIBP6RYEkUA/ZArwGJL_bkD2jlRWpc7VIfZNka306hyvcljf7l8s_3HPPDFNtJMFW8XVsKU7ixGqwSGwbyqAVTxfRUFWbpfv7_PAcM5QXX8nb8LYD7qR7k7rhUmo9_62EBGu6s5oVJxM/xNC_ZUSHYTiszLAL7XFVmq7_pQ0HUPNcNis57mmMcYc),http://www.bryantstibel.com/,Bryant Stibel I,Los Angeles,
Bull City Venture Partners,4538497c4fb5f773e3ebaedbd2494820.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/oMIQsAMgyh-Oi5YPGySaVQ/0pTI6GqZTDikebv6dRPVxeLskv3GSC3z36TK42mrh1OEdjhXut1CkYJiuA8Lbek3JEfqP9PhNElPYDSr6tcckCrqGAnnnQD3KZXm3HwqMqTyBNlMV1-M0-iuAMJuaL0B/-bkDerKTKPW_ixTi4tMK3tqOxDzkVp4OUMOM4ANjnqE),http://www.bcvp.com/,Bull City Venture Partners I,"""Durham, NC""",
Bullpen,425e57daf38f41914df1c1c1e14a9caa.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/pO-2-1Mm-vDuf-P6wqXUXw/3oVz8Lgzld4xpUaxBi0V-OQ6jI2X2PmUs8zVs5RNYkYI6RaC9CXr7zw1fx0fKEyZdDbr1p3FkGHWGDEFTVNKpkDVtKUVOnfW-tCMpBu0gJoLhpduUWG2JgRPh8vk7OlZ/1mGL3rzQpgN-3ANQKuiKktjDS7NKDbn17anECBwcFhU),http://bullpencap.com/,Bullpen III,SF Bay Area/Silicon Valley,
Canvas Fund,xmudzqztbzsflgtw3lcr.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/7g7qjZSNJI9-TqPercoLVw/Ur9-FO5dz4jeTjlGotSdPb7JCuR7U6ut3h4eTIMn1aK8Vsf3Gen1BkH0dfg0zZHnJk40ueJD0eOV8agmGf8TT05iVkIBAKOFo1bHssrmdOhc8ztZ7ydVmvs-P_WqWcvx/xMeXTnL72gxSHORBSjipq49cPnN8xTRUmgs6giIQN4E),http://www.canvas.vc/,Canvas Fund I,SF Bay Area/Silicon Valley,
Capital Partners,ecdd9db5795446f582c0ba6d1c8e3c90.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/cSVGLqcUwt2kflm0kRudCw/IhdzfhsNncaktZmKeh6PThBpf-dpcw69SovRjRLVn955hcAUbFp9lVxZp739kahQ4Q3uqamITVYez16bceXm-5bIE6bZDiC5XyaesMygtY_Ht11PbKRwM5Bpspqevw0k/MPCTx_y-4VteXjuUqWwO-aaWGfqhKv7h3-u57J1Xswg),http://capitalpartners.com/,Capital Partners I,SF Bay Area/Silicon Valley,
Carmel Ventures,e281da65cd7ad55dbd5dd8d0b5cdc8a6.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/1ugLFfkzXpt8MwlQuus6dg/zubS4rS2_3ai1_0aUbRwlsFd6jWbJgWSzB8lgXHxkakY_CVx4cSG7RCLwKchWzujzLouVBIFq5TqWE1ke5C1X9nJ8kSQMOIFDsJo9-C3YHJzxhoml58GX_XvhR6RU_Y7/9xbQSpZd_v2njrRy18hzxi4wHrfTrS7E05KP5ygfavw),http://www.viola-group.com/Carmelventures,Carmel Ventures IV,Tel Aviv Metro Area,
Causeway Media Partners,yqnzdes5padzp1im6cdu.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/MrvvJRxk25YHZYKz8C1zeA/ip0qdW4BqJ_pR6iCxFX3JQ_o1jlR38-GvcQmDvbSnslacVzpZRcBqGzIRJD1cisWw4SJTg2TDLg-Z5tzJLSjzOzyO1_a61zJqC3wptL2Y3_VjfXsZ1VzUIw-TY5V97vd/c6tAYfFF5TXPZdVN3k4Y79CsqQM_Tgxbom0WEmsHThw),http://www.causewaymp.com/,"Causeway Media Partners I,Causeway Media Partners I",Boston/Cambridge,
Cendana Capital,vgvsz3rcngvtehk8ekvp.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/EvJrOIG9zagxHm8xiI2P-Q/r5-mWQIb9vVvD5TzDjSfVVqzsZUxhtHD_MHyxaAh_41pnbVNYJyrXF56tNJ4cTb9UZhaEXQuarHh1OPIXjw6ThSJpnny74Hcr4Iozc4-fqTZSgqCUNEuTwsUyoYTLoGF/_AmsCzQKe5Ia-85frZ2toHgSRMJAqMv6b9zIVNnOrx4),http://www.cendanacapital.com/,"Cendana Capital II,Cendana Capital I",SF Bay Area/Silicon Valley,
Chicago Ventures,b904056ca63e4caa71ed8593dd08dc64.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/FZ--trWmS7RwBo5844GVdg/hl08rxQ6uWMIJ8iP9uPcqev4ehvdljV6NLBg1--dqtKXfgOVAHy4TfNsyOhamaXQZbOAZbcikpLQwX-1LtmUFly8HX8u_WVMthmhhW1JtiCt_P_nAgrfx_mgki--BEf9/HAiu7Wx2c9istO3Oafvh7FqX_j-LkfLXwNLvhMLRMNg),http://chicagoventures.com/,Chicago Ventures II,Chicago,
