Name,Logo,Site,Funding Rounds,Location(s),Notes
Noro-Moseley Partners,50cd8e98ace94d8815fc8f7094dd204d.gif (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/xU7_G-NhGxjuHt-clsCaGg/w-Q9odOcwZ95rXiPo7s6J8VtJHyTxFwbkM2_cUXxGdFWX-TBrtZBjHLps3CIAPQyifRqTWQdEtgTzYfQur_MA0xQSEtF5ooDIpLOoeAYUl_PMluAmD55nDc4uFAoYU-y/Qiwv1RjStOv-J_ySPLIIR9dSsAzhNBAuFtvbVQ_f2JI),http://www.noromoseley.com/,Noro-Moseley Partners VII,Atlanta,
Notation Capital,cy68j5qcibhroqkobjdy.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/oIdCa5mue0p1j23-xpjKCg/bdF3bUl5nk7FRa_KDAR6nj7fSRatSRjj6_wfyVpl0fVQIXTjJCnovAPqA6rrRHoWk4Z_9GUZx_zbWTVkBPE2VAUjIYJq4juhmO8vuCtemonC5reeVL12172OZHYgNCdr/X2dEumDWMCka858JxeShBe3gY4aW6H9lBjfk687m-5s),http://notationcapital.com/,Notation Capital I,"""New York, NY""",
Nova Founders Capital,xyv2qhk47uu864d6gomz.bmp (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/INadC3HZ56RU-cI6CPL7RA/OLlG9UcTg4-E17swuGdM8z1lW2h8TndoNcM5BZt9jYuWZrAkhToEGUwrHUPEZqLGG8qzX_5K-TU8I-mpANcf4Uf4eIR9ebLJl_93SYQaFOXAfLS3arDALLKeyrffpp64/pXhcN4xNMvfrMGHbRmmcxJcb8HWN9duCEIMZyusZYC0),http://www.novafounders.com/,Nova Founders Capital I,Hong Kong,
Naya Ventures,9f96f49e35ac706871c1557a1d7d725b.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/OQ6m33MLXdfTF79TCpCFmw/Snc3QXlyyEhptmiGu3psPvTVgk_BhGz2FisDkeN-Bo1Rl1NCWkbEvtzhVit9qRct8RV7ts3Tyu-2QtP3ZmCC4NmUa8ej6mlrkGuCOuzRmmgVsUErsdwjYJQiUDBPzayx/bbZQ1U4mxqtxmpNaHwAep5uUcQrTDRVRF9X44ofiDFU),http://www.nayaventures.com/,Naya Ventures I,"Seattle,Dallas,Hyderabad",
O'Reilly AlphaTech Ventures (OATV),vjrribzwu9avhsv7w1xd.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/sC-J4qo1YXdzT8FNbvLRrg/MGBuNbtI5no1UkejW1Ck_7solzEAjE3zPBwsV1tPVapkYBUmN17jgKfxveZ3vaLQvdh3y1zv-I0EvEjogxuAGDhZTXO2IrAzreElfWXYvvo3s8EwwETyECkpHiO-RwmX/RC7blj1MwzHXg1tVOvBTipRVk4IJJdBWJhCTr6gYsQc),http://www.oatv.com/,O'Reilly AlphaTech Ventures (OATV) III,SF Bay Area/Silicon Valley,
Obvious Ventures,qpbhuntylidoa9lzmrd2.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/GZ9bIyK3KlVadmkaSJh3gQ/tqo-bOylxi73tQHEnXTlo_TIItRXMfkOMF35rgPJm5AEHXqbkx_aA1AmPwlvHtNjtbHbr2K-AAUNhGzSvrKdXooybCHHkGtdfAWJ-s6fPTwwE9kkfQa4trxahiD7M-rE/ZoZLIZQBpDBE9Y_2N30I2BJoRc4VRiRAeCm-qPqiu5s),http://www.obvious.com/,Obvious Ventures I,SF Bay Area/Silicon Valley,
Okapi Ventures,e8877bd3ac8c99a0bbb6a684ee0175fe.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/uRH_a6fhcOjN0eaklajNvw/Xp3mSgRFeMzv7bJf22iF0UTE0L0AQaKJ3_10WUBfaowUyBWiqkl-vJBUfogcOL5My0ejtmsHd5TlKGl8QgKdvB8mA2psA3yw2NiU6kxugBTsI_afJePx9l6pYfLAoOAm/11SbUCTmKpElfiLw6WX9hsE0fahRW4ZsQdNNwtpGS50),http://www.okapivc.com/,Okapi Ventures II,Los Angeles,
OpenOcean,tdfqb45xc7fdgcvcloay.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/CuXMydPhgBwkCpG3IA54Mg/31-S52ZE94I2wyaEhP5w4RJ8gWXjybaFyCEiMHj_wIX8z1oksjOyK1a07faD2-ENjQKfLey2oc7JLsw1BR6pLanVXVU2J7FyImqkH1PUX8T4b2Z25S1j4M88iS3bwY0W/x-kQQ-vjyh5vrbIAy8fTcwEa7MmRqYhvRkw7Vk69yz8),http://www.openocean.vc/,OpenOcean I,Helsinki,
OpenView,lrlk66iawygb25bcybq2.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/uRDNEH7G5R8w4No71X6zgQ/wR5RtBl1IkQOes8E9qLfiNRdnMk7zRS2ZQ3pz0ls0MzBFfv6pEb1ztLx9SyUURFUQGlzxdl2S8v23dGfZavqdETVK7id735v4E8KT3W3BESxtg4eIDnkSlrdPpABICdq/exHelLqSzqjEwAm9kS-9L_CXMRoA8gP-0e_hBeH9W-4),http://www.openviewpartners.com/,OpenView III,Boston/Cambridge,
OS Fund,txz83w5qkkp08p6v4oeo.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/iy6pYhBl-Du3x1_E3VNLLQ/gCMzhYB_6FXv4tBy9Y4xriRLbHq9pXgBD35kTLWzjQE_xaPPMfnwjHNpUxBwsjD_k5enNt9PajLLi80bb4H6l9MB7v98JPlochHq8XkiMoM5zYSZ1a2rYeiAFTAZk_-t/cfJ1yTlmj3rti5hexmni43MlmCfhj5VSIkQFS2HiyxA),http://osfund.co/,OS Fund I,"""Washington, D.C.""",
Passion Capital,usoch7rjz7nxck5dsrbl.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/RNRtSNZpP5WyLvXdCc0oLA/--FfHL0b81VnqVA0fVcuGz0LJXC5-rWYbXInjd_t750QOI4eYBiwuj0MCmTiqcU8BjKzbViXxnFIKfKq1yUu1kvMGEYURxg4oeEsxkRT4LJ_Ypahl9AcD8rIEmAp2xjt/YSSrO_DSWZGdSECtPqWjrH3vbsvB6-Hn-z3p7JZVp00),http://passioncapital.com/,"Passion Capital II,Passion Capital I",London,
Peak Ventures,osz1kmshht7jjs01swbd.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/npRZhrC3YzSgg1Ix8uiHqQ/bqT9F1NNvvYEyD5KuI6zyP6ZODR66bnEE4timdxVjuB0dtFWn_Ng_v5qB5E7ALRCIzef3lqRExhKxjCRyYpiNf4hhabb2zJMeGHjefJ3rzrykJ3FtENfNaNzFnS9chL2/O1A-Jb0fRSC4DtPJg3xrsUccOpoMxx3b_yavYlCiCxU),http://peakventures.vc/,Peak Ventures I,"""Provo, UT""",
Pear,divo6dyu5rzscvyrbbdl.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/zOR5Q9Vt9xUzCbbSeA42qQ/mgY1nNppPfsKDVQTQ_NgSVAiQ5Ume6ZHHqtF1WEDhebaw83CVLWlE1awREfixD7uPANCxFTgSN83SV3UWdHCfe4mQKPwiJ2F7qR9vTr1Guxnk4hATAjMNHuuaKsupM9W/54dLs0ZUDqCIlg0DXTN8HeHqUh5oKSK7gStdFWluMS4),http://www.pear.vc/,Pear II,SF Bay Area/Silicon Valley,
Pejman Mar Ventures,,,Pejman Mar Ventures I,SF Bay Area/Silicon Valley,See: Pear
Pelion Venture Partners,c01cda23b1c8153e87bc37b324ec5fec.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/8FYB3JfkQOw2IyYjtLwUIQ/mm0otpN7uBM3sHPWDWyr5AGKZyQdXPMo7LKVxkFSnzGQemuyTkZ1wVRHyEvmYPuFbQ68GQPrnUs9l3KidplUB56EKMs6Sebp2Ow1ZocMTBJHFKieAiqo41vUog0yQEJ3/Hh7vOxM2iG4KPTGA0xixxZOGSkYEThV1XR9ATLwzisE),http://pelionvp.com/,Pelion Venture Partners V,"""Salt Lake City, UT""",
PivotNorth Capital,b2563a9094876f6fa66dd9e735880862.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/SYmBN-vPzzeJIm3_86m72w/1eotFt7woTmPKOSbMyXhdeYIVSTcECga4DIe2OrfeKNwb5DXkWUFOlO8YnGQPSFFDVL2wdl171JX_q93qdDj_RaXNzORW3dexsq0t0mfW6xBJ9DkOA1ry9xkZZHL6uMw/edb6GBYrB9WJQOSHoprR0WGSHWXEZbq0aJTE7ozClmg),http://www.pivotnorth.com/,"PivotNorth Capital II,PivotNorth Capital I",SF Bay Area/Silicon Valley,
Playground Global,ob3kf09bbiqjrxltswko.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/lKH-2BjqZJyasebEQIrgQw/-2kQ4wQGqGFgvrN58i-Aspe31OCkQKl8STLlmdge-m7Qh9PevSFVte3GLviffqDvu4DZxNe20l7nQa2jzqZpqUYKgAnBFi27NERY5LJgM6D743YQ7ttOkXNAmMmXubQ3/tT-YXeqNMtoDw0OVW0xR1oKADpzeBHunhE9orQsTezQ),http://playground.global/,Playground Global I,SF Bay Area/Silicon Valley,
Point Nine Capital,jtgnu1jvkrf8ydy4y5nt.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/AShwWyxN1ge4vcZx9KIVwg/Oz1crDjsSmosQ1AzkC7QUqD4hWofBu2V_jNlVHnRzsSMHOcBE6HdHEhTM5n0_CRrh5FSd5WHtMiwC4JPHHCpREpU8XFg4G6kZHnCf7TNi6cc360WfM3UH-LE5urZFmoe/0sm_cpyqMeKUJguYQFn4SRffJ_CuiUZXdve7vmasxOA),http://www.pointninecap.com/,Point Nine Capital II,Berlin,
PowerFund,,,PowerFund II,"""Boulder, CO""",
Precursor Ventures,nf3opil6xjv3nz5zlg78.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/hjFoC-pYYYSaY7k9luxw_A/Mb6AEyzv_mn06F2m-wCKfpDSdepk2Ikqp6V7Em-Sc-7ffyEoq3-1SYKn0303frt6EfRdHqyVa3t8uUMblqz4NEMt4Bp-7oDHqQ8W1nAFZN0ouQStylr24pRl_ieZ2KHp/JxgAr8mVMujSup09tWctY0uQy-QSvKg4mz2oHwwbhHE),https://angel.co/precursor-ventures,Precursor Ventures I,SF Bay Area/Silicon Valley,
Primary Venture Partners,ahekqihowyaphit87vnp.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/8azwR9ttZBnU39cwuHZZ9A/W7XnzlsaW4WVHPhs7daZd5d4bh4oQGG4uOu115yXolGofJDvXSTtwBai3nXncdchRBq6BcRzfzPcNP8QIMA1puRFczDAFSC1XJLjZVj5d1vD9Hp5UVnWS1rY-eR8n4Pm/1wRPV6l1vrG6KRh0deRe3SYShkR_Pvl5g9hC7rKeye0),http://www.primary.vc/,Primary Venture Partners III,"""New York, NY""",
Progress Ventures,aks303m7hhgmjbdpfsy7.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/x6IfGXzeC6UkcNf5c0hjmw/CsJR6xUGCh254EjnwuqPVDmGDjXyWijL993wptzT5Koyf3LDztklVixWo3FRwd8lnh_7JySOO0n1JKcNlO3m678vlqnGDhEbEHWdg-ewjjTooOQQ5eq0CBezO-w-Rj5X/iK-thvHP17MxvY2qf0tEH5ECBUdQ62qLEVd80t4hM3o),http://www.progressventures.com/,Progress Ventures III,Boston/Cambridge,
Raptor Ventures,3c0043241b9933e819d69ba5afa0317c.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/NZuBPmjCjEMYKcfJjFxkoQ/HVSEkPY3a-jlLGmSQKV-d4t-pM3UT_M3gB_dt8ceEO0HwIIR3oHnKE2rd4BQ4d9vRhAOprVQtEBnKc3heV6oh-ZQrhqKNwEVu5Uzz_zzDVz8syHARGiXuD-gSVR4glY9/wc4bAXnUgKEQTCcxLCB_YXRG-bzcplTwrJoxR2AUT_A),http://www.raptorventures.com/,Raptor Ventures I,"""New York, NY""",
Reach Capital,ej9h46eolyuczsiguqjm.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/IEXK5ZHK4YQZLY4RZrZ6Og/8SbxIajn90E7YKO1O1rx_WVTEjj0y4WC4JinMIeIffAmcEM_BAKXm6vIT6cbTZQ4-qoYhhhyMcjb8lri2PYMGWwKNWRqelf0C_6oxZvvcWJD50_monB_SIFb6Lmzi6C-/neX9dPLV9hBrkG7qaRGkmTrS3drSUe-WbSCqjd9NeDk),http://reachcap.com/,Reach Capital I,SF Bay Area/Silicon Valley,
Real Ventures,u09q6sus2p8wzhxjbppj.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/ksTxvpsxTVo6i3AgpktSCg/MAQ0uL9tg2ipDFfscVOtAjdC_7TP-vDYzSH1KQjpO0sNej-zPAMqthiuP2w_l5WU_7uKSb8xSq8I-SIMWfDOVImwGPO1dgnD8hxfWJ65AQ1qABNZjznlad0JNiActYfG/PzI4Nzv4NUCYkXILU3dPfECL41_HlLQI114tyMCmbIE),http://realventures.com/,Real Ventures III,Montréal,
Red Sea Ventures,y4qesjn9d2dvbwhvabz0.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/MGIHE49Y58gaXOntNkJKIQ/CcenY9er3YtYgyiSlx9qbJZbmhjFpYrXR-AN9Cd7wo7n1WRt3kq0DM7ydSmUVXGOiHEhWAiLwmduQX1ydCUzdSFniB2n2jaQRFyHSiwQGWr3z8BA_4PZJL1fJTm9g29Y/jvMkxHCFeN2DCP44I3l2DIX3AFcbSoQiFBmuo0PSEYM),http://www.redseaventures.com/,Red Sea Ventures I,"""New York, NY""",
Refactor Capital,cqi5uuyxlwlkc3dqj9zz.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Way1q3r09aPPU_oSbf53AA/vbCCQI1pSy1ZlWCZrYGw8pJxKE6gVN4NuocdbiiuFhtlZOi7C_fx-XDkINdabLDSwxCLRcPg50m4jyP-RgwIIePahRw0Q5XXMYjF0D9ntFFIX8g4asyViGDyB2X3p0nJ/ARgStbAtDa3nilVIC2Z7h2W1uFD-aEuECw83YRZCCgE),http://www.refactor.com/,Refactor Capital I,SF Bay Area/Silicon Valley,
Relay Ventures,oz86kpvqcw3tlgpwjryk.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/r1MO2Hd3TzaDrh1Y-bOXRw/10njnFjn361QIzQDMGfRPBHzIeuf4ydj_p5VOmZnnJC9Waq-hV_0ODWAPK-65i_jdg9qohnnZSA8Cp6dVgY7YzemJPjV9h53HWS1KROmFMaY0dObEQAUnTPjSPazoq_b/1RYZRpF1kfDXqPOYQn5AAPH_zo20Ul7By9DfbGhq2AM),http://relayventures.com/,Relay Ventures VIII,"SF Bay Area/Silicon Valley,Toronto",
Resolute Ventures,ut0ib5cup0seeuihlesi.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/VFpU58kT3_-o15JEiEBHyQ/lnv2yOcyvkNarG4zXF-EOS4a-xQrIv6Mq2p3gGATV5d0n6uNUREGkb9yI-SP2-C9lx44r1rIaWZdApqcXNtyZ2Bs2OdQAnODCbyY_3UpBybH0aQYUV0-r2o35XpFT8vS/RGX3PB04nRQcdDcR8lRaydJMQ2gkLp0stM-08meu3YY),http://www.resolute.vc/,"Resolute Ventures II,Resolute Ventures I","Boston/Cambridge,SF Bay Area/Silicon Valley",
Revolution Ventures,0840a1776e056fe59860ed2935cf3bb5.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/CpemoMHqiGlVwxzDSp3EJg/GNhFx5D0dWoNEOEOdOqVwO62cwNCUs_iBjgnzJ5xznnSeJehySHdaFfSZv1euSHCuGZAGNHItFl2TLvurH_cg1AvasthhTSbj7ypoI_XMRHM2hC6WC9LOTJP_M1ME27j/C6IwiCsbpoTxrBK8QOvu_BbU2SwQ-Y5XZ8eUw0rKBqM),http://www.revolution.com/entity/ventures/,Revolution Ventures I,"""Washington, D.C.""",
Ribbit Capital,19b49e1d50774c3aaa67084cca77cfd5.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/euidgw7Gb475fYg-k-LFDA/C86ShqsP3EjIudESv2BZim6zm2NndsvTg2cuHe6Gsa-xpM3i7sZUxPbOUqwOZwXqOBdjsitYA03IWcURIPSvIwZ7aLBwZ2P0dgAFT_w6XpQ5hz__gA40H0kvDHouo5sz/FyaYIZVCO3z9RZr9bFjTTXu-BhcQPDet7yMUrSNMS2M),http://ribbitcap.com/,"Ribbit Capital II,Ribbit Capital I",SF Bay Area/Silicon Valley,
Rise Capital,7faf8e87f06b1e7545c158c19fbf5b1e.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/dQEhhUwz7L8E9ZkYV0XeBA/CO5hhY-wOCbRcESgxwjRvL3dGp1xeEayMl5iyeAiu9GMC__65eQK4n5ixbgqAgLzTJhLozRpCfLKIqIJVX-boqInwBXo52_4FDKzXlUYR041idL4kfTqx0MjLg-mJts6/VgyY4bWUOn26wJeQ0-V0m3ncgRMw3K3VWdngoDkh0qc),http://risecapital.com/,Rise Capital I,SF Bay Area/Silicon Valley,
Rittenhouse Ventures,ly3t8sdhesk7yr2w3ti4.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/vb9-tg4SZR0clRuOoUU-6A/tzn9211tSYATX8irBCeCAsCNvnPcf5bHty4x5BFbZ5cKpWsOIaBBVSAJu1wu8QFePFd1zx35UiZqoHvneQ9CedNE75uAYCKQkxrQLrY8qmfhm03flWT2TQTTmIUY3-8I/sHQ7DxFgt_7fioDkCpkiIhB5ojl0rNYL2UmxoxawoBM),http://www.rittenhouseventures.com/,Rittenhouse Ventures II,Philadelphia,
Romulus Capital,cybthc9t9zt5k1cz9iyo.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/V3fGHbrTx99JhYOLiUOaPg/gyXDrLUNGbgq5box3Xq2eATTUIl-TwWly0XF7DoIhCVS6Ip8dKXX_ER-UXO8f3DEMhdxSFl97Pcue4TyWhUm8gMXrx3B3CJeMTYoGCEXLK2NB6zDGskBncMOlpPyrOKt/Beh40-6i8qUWlH5dnD6oodcIxZvnGMQkgfW5fDTWGmI),http://romuluscap.com/,"Romulus Capital III,Romulus Capital I",Boston/Cambridge,
Router Ventures,i8bfntgqslztc8lvpxkz.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/6PhT12hGROfEAN2KFelQCw/YII3gsmBf4Scan6X1qPAYn4GBxyP9a_9jb0PK9hLubjUeCuFdFoJHQ3jfCvr2cGpJUApf8yq4xTfxOoU1rVv3AWiKwuj9O-EfzSJ3ffPvpi9kvEExH1Fz46I7stMWULp/Wa6_P7hE1au4K9-5SAAPzt6TMF9oEVmLMOZ_L1RQMUw),http://www.routerventures.com/,Router Ventures I,"""Omaha, NE""",
S2G Ventures,sybajficeqz0aqcuxwxy.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/i2OQSd8oiBhR89tMiIvqMQ/dtkLgxVDkUHE9yeBBYmwRSJcMYr9kRPkQcW5QWrtHWAmCRPfI2Ch_ChhIfEv4eqtJDcG5jRmVD4DlmVnDF6vkXiifrZY4OahCKEaH1HOcCPx_KGIakAmhpGbZA8FOZXz/8EswoYwi7IwjJ8IWG-DAWHz1JtlNWe1xt8mLd7-EF5Q),http://www.s2gventures.com/,S2G Ventures I,Chicago,
SaaStr Fund,eo5i5y5ns4idgakcxo0y.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/btYSeG8nTcxke1TdDJ_a4Q/FCPBLx6r9LB_OQD7ANM2No9rPHRtTKiLKQgmQCJsAyeVpNPH56jpTFhaya9oGCNJSusRqrtw5IZXDx4zveorq4wfgO1jPn198D_p0auO7N8GE6GnBS_GbXudsWvsPotU/fJ0Z5EXHlHtOVXsrhMhDaUfwY-tLvZgXTbmTX39BRzs),http://www.saastrfund.com/,SaaStr Fund I,SF Bay Area/Silicon Valley,
Santander InnoVentures,rwfabxmqigcdfiqfqblr.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/OqHnkr6cjYnOB9XZC9h4sw/5THK-gLKx57p2AbSep30kZFOUC1r6rg7iH3MZwU09v6EgnKHngcdfizDms9XzYFTtVdtlUWm-bJgbt2NIRBYLDV2Fvn2Djb7gWw_wiFYjq2F7gvRApCIJPLi63vmQgSC/CeBBHbGLflecs0pSW3z2H9-qnp61v5o6R0eUgAYOiZQ),http://www.siv.vc/,Santander InnoVentures I,London,
Scout Ventures,4c0a0ae4bd97027a11651cd78bfda30d.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/oIfyPcARGdOGVZhGDFYjQg/uSWoVKC_4uNcIFTMicrMp1DvVB0ZqQmcL06FQOUGIQ4GZjkcFoRKj9Jao3EAfsN9wOTJck3wB_kQa3O3SP8RMyrKfUf7shKfdPWQawc8CWag2nxsv-T2BHlSl5SU5tNI/e2ICXn7N8v8C_Noa4SNDk-Azh5TxT73J2gym7CX_pC8),http://scoutventures.com/,Scout Ventures I,"""New York, NY""",
Seedcamp,celknanwdnrargksenhz.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/fkPCsXxFdZNBPsJDjOdB5g/SfHGdKjplKHuG6OcLFsuJzavKir_5pkb49ndqjuCfCI6u-o-fxkV_raQvv8pZQtv5X-xXxn80L4S9Uu7mFNJ_1rLYvkvR53z1ZSQVTXhlrrheKSiI1JFYNXl9gJtBPdr/iPyC21anib_WlycQpKliFEqLbR0NSoxzF-mK7eLmAfY),http://www.seedcamp.com/,Seedcamp III,London,
Shenzhen Co-Win Venture Capital Investments Limited,80a97fcc86eae56c043f57343172ae74.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/qCWBRRPCFAxM-gvcCTUf2w/--NaZsujPf17SZSaLr5D6jW7a-wYl__g44FMT7mVbeo8Yf_9APgAYRe_n-f9woQ97ZRd8yxw9vwGqrcQ-R__M52DKdkuP9O1mwK1twa5tf_DUAoi9-gKayCLvfaNlMGh/5ElcTbrBks7R9JuWCh4jhMTGhdePUjO_iETRB9G-5Mg),http://www.cowincapital.com/english,Shenzhen Co-Win Venture Capital Investments Limited I,Shenzhen,
Sherpa Ventures,gdrp9mwgcy5hiolewcvy.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/nqib_FoUmCWflV2FJYRuow/SE2kijSBYJJ0-SUEQRkxCvmFAllSgt9R0Js4wVFaODsPzYgRPEVASx6rS13_DT2qgN_30GyBxFn8lFz8RvVVY3ezLK0IKePiPhl1TRZoqvqTV8mxxP-cIRx64Tf5W8v6/udVqNnPqvBvIZQA2SepED6oP3N1QnAj0dNhw7ndkTyE),http://sherpa.com/,"Sherpa Ventures II,Sherpa Ventures I",SF Bay Area/Silicon Valley,
Sierra Ventures,37565e478f19fda82f55b004062468d5.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/usFoMfUl3fD9ovPCGNjCIQ/cB3oCXpdvfDc4vaVyQtdEpU1ZPoustks-8BmW86biSkDO-ln0M2I5fNPbjv_UNlmdxm9-1GrvI7jImzH2GC1uhGt3GgFg6lCg3euP3NFFibJDJGIyscsmOibKeKRGRj-/A8txIdORqSxQIUc3z2oEPx3S1ITf75oLh5bxfGNXEh8),http://www.sierraventures.com/,"Sierra Ventures XI,Sierra Ventures X",SF Bay Area/Silicon Valley,
Slow,db46baba5d2d43a43740be898e14485b.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/beH_8mbA0ir-gfgJxiOv2w/C9tnjmNRUP-gIjXZMl75c6SF5MgOp3UrqtxD1DDa91X5cAmSAybbBxZiY3-H7DF16Ml8RwPQohWJgMrtpIc12l0brNdpzzPNdyTLbl-QwEbmf4RtdGt7oVREBJrRMKYU/-_bDNN71Uy2qXtV3pz3Pz-4Se44TSldZ1ch_kXo7mI8),http://www.slow.co/,Slow IV,SF Bay Area/Silicon Valley,
Sofia Fund,,http://sofiafund.com/,Sofia Fund II,"""Minneapolis, MN""",Specifically for women-managed companies
Softtech VC,88d27d0de246751dbbad7b080654af22.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/nB8sB6YrwG03jnCqEUaiYw/eZBUe9-qLfLwyE1sZzlTCYxQgp4oxazv5nAtT68Od9D8tvcasIYPLZ6CvJmIpD6tC_-p0PW0FMT1VNAuYYRJ4OOaYc6hrhOBFZ7ubikX7U5dCO92D9XmEkCgECKvZhaJ/RdNsBsVC7pTC1-_446fN76G1r0DczwHDzOUxdNokjiY),http://www.softtechvc.com/,"Softtech VC V,Softtech VC I,Softtech VC III,Softtech VC IV",SF Bay Area/Silicon Valley,
StageOne Ventures,72de6eeaa1657f0c5c6413a1385ce042.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/ZWgbveJQczB2zbfKzV0qWA/brxBmI5m6UGRnKGX_EuQD2RDicxWsz0PS85K0aF1vtEqOPYBf_ufNoc6nNOIh9TqVgVy3ypN1-PRn_OGUg70YBkIl0EUN6izuvWtNNqQdduMUdaxzrk9Uon1TWIuRK9P/D8acNhTj8CZtX4iZOpU_ZbpU108HAX6okZJc4Bzbk6c),http://www.stageonevc.com/,StageOne Ventures II,Tel Aviv Metro Area,
State of Mind Ventures,re9wovmumd6iwousyn6u.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/bNvPYsDWZZo0I3NPGw25RQ/hgjRreaJm2AqvWsji2fLoM3VZEHvuntJHZK8whxLh195MDQauQDq38jGff6WqzSOggdq44pQFuuA307bdXfysn208MPP9LUbIX3I7J8miGpg5_q8lJyB5sXjGXX6e2JI/4_yYJvQc-BJPex2CevBh28AFU0ENi-BECnIVq0Qb0Ug),http://www.somv.com/,State of Mind Ventures I,Tel Aviv Metro Area,
Storm Ventures,3bcfc50684d16deb9650136dafc1fda4.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/eCOdTEzL0GLxQbVPw7NXzg/NMtoviBu3HIkkpUhUJx0gp8IcN7M7GQkz_ev2w72ZSnQRTgUy-Z85Gw4-VQ4Pf1OkXeVjGjRky-QazhXBIE3WxNIH7w1I7MQ04YcklzMMRysaTolcxhoIQEJxdrd_3D5/gDkO2TMzcWeZ-8ylBOe8SGh99h9F6_fzFCNxFQ_tH2A),http://stormventures.com/,Storm Ventures V,SF Bay Area/Silicon Valley,
Structure Capital,aquvjrtfml5bmiuzw7dn.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/mE9T3D24ksgO6mC2U5rUuQ/S0auFfLYVfkShEb9QI3j3zAnuGWj89optqm1hSX08pAu8nmN3NUbt9XX-UQ_FsRQiXtqBlzbkhhfO2vQvgAPQuFXEsiPp-p_6sP_jhIVofTVpygrCMEcEGDrnVG91Ur8/8d9OOnRs3TGwfzcbX9PLvwSdB6sjub5wt8i9XIwVXZc),http://www.structure.vc/,Structure Capital II,SF Bay Area/Silicon Valley,
Super Ventures,zaqmbbiuawzd2zxogv8c.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Da5321avo1yT_zQwrNsT_w/nZgXszQZQg6pTCQrnVDurr7pJn53uuRfYvm5e5lVOewcVJSGwvTX8bisKxFdo6x3KG7CIJq3WlkK4u5OI4PbFsTKVCec8vJWqCxn8geUWkLNYxNl5Hdb05kf6Ff7n-Ki/jsbTjX5UH1h9oG1Kfh8voLQpaq4zWTMX1en8G5nZwJE),http://www.superventures.com/,Super Ventures I,SF Bay Area/Silicon Valley,
